鄉鎮市區,有無車位,租賃層次,總樓層數,建物型態,屋齡,坪數,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱,總額元
5,0,5,15,3,22,18,1,1,1,1,1,0,17000
3,0,6,15,4,16,66,3,2,2,1,0,1,86000
3,0,4,20,4,4,36,2,1,1,1,1,1,53000
3,0,16,20,0,6,564,3,0,2,0,1,1,1490000
3,0,13,15,4,4,42,1,2,1,1,1,1,44000
3,0,-1,5,1,38,60,1,0,1,0,0,1,29000
3,0,5,5,2,11,24,1,1,1,1,1,1,32000
3,0,3,5,1,47,24,3,2,1,1,0,0,29000
3,0,12,20,4,11,24,1,1,1,1,1,1,50000
3,0,14,15,4,37,36,3,2,2,1,0,1,41000
5,0,7,15,4,20,42,3,0,3,0,0,0,47000
1,0,8,10,2,9,24,2,1,1,1,1,1,53000
1,0,16,20,4,11,36,2,1,1,1,1,1,71000
0,0,13,15,4,13,66,4,1,2,1,1,1,65000
8,0,9,15,4,15,12,1,1,1,1,1,0,20000
8,0,4,5,1,41,36,2,2,2,1,0,1,32000
8,0,10,15,0,36,36,1,1,1,1,1,0,35000
8,0,7,10,2,41,30,3,2,2,1,1,1,35000
7,0,3,10,2,5,60,5,2,3,1,1,0,47000
0,0,10,15,4,40,48,3,2,2,1,1,1,65000
0,0,6,15,4,31,42,3,2,2,1,1,1,74000
7,0,11,20,4,12,30,2,1,1,1,1,1,38000
5,0,2,5,1,33,36,3,2,2,1,0,0,23000
3,0,12,15,4,7,66,3,2,2,1,1,1,83000
3,0,5,10,0,46,60,5,1,1,1,1,0,50000
3,0,11,15,4,9,24,1,1,1,1,1,1,41000
2,0,5,10,2,37,48,3,2,2,1,1,1,50000
4,0,1,10,2,44,36,1,0,1,0,1,0,32000
2,0,13,20,4,15,30,3,2,1,1,1,0,41000
2,0,3,10,2,15,30,3,2,2,1,1,1,26000
2,0,25,30,4,30,30,2,2,1,1,1,1,41000
5,0,1,5,1,36,36,3,2,2,1,0,0,29000
5,0,4,10,2,26,30,3,2,2,1,1,1,29000
3,0,6,15,4,9,36,2,2,1,1,1,1,56000
3,0,6,20,4,24,24,2,1,1,1,1,1,29000
3,0,6,10,2,11,30,2,1,1,1,1,1,44000
3,0,4,10,2,11,72,2,2,2,1,1,1,74000
5,0,18,20,4,10,42,2,1,1,1,1,1,53000
5,0,4,5,2,15,108,4,3,3,1,1,1,122000
3,0,5,15,4,9,78,3,2,2,1,1,1,89000
3,1,11,15,4,4,54,4,2,2,1,1,0,56000
3,0,4,10,2,20,48,3,2,2,1,1,1,41000
3,0,3,5,1,44,24,3,0,1,0,0,0,20000
0,0,2,10,2,27,36,3,2,2,1,1,1,56000
0,0,11,15,4,20,42,2,2,2,1,1,1,50000
0,0,3,10,2,13,84,4,2,2,1,1,1,83000
